year,total_titles,total_copies_mln,ukr_copies_mln,rus_copies_mln,edu_titles,fiction_titles,non_fiction_titles,avg_print_run,ukr_share_pct,other_copies_mln,non_fiction_share_pct
1991,5855,136.4,45.5,85.2,,,,23296.0,33.36,5.700000000000003,
1992,5451,125.8,41.2,79.5,,,,23078.0,32.75,5.099999999999994,
1993,5136,89.2,35.1,49.1,,,,17368.0,39.35,5.0,
1994,4710,54.1,31.5,19.5,,,,11486.0,58.23,3.1000000000000014,
1995,6109,48.2,28.1,17.1,,,,7890.0,58.3,3.0,
1996,6094,51.5,29.5,19.2,,,,8451.0,57.28,2.8000000000000007,
1997,7036,55.3,30.1,22.0,,,,7860.0,54.43,3.1999999999999957,
1998,7065,36.4,20.5,13.5,,,,5152.0,56.32,2.3999999999999986,
1999,6282,21.6,11.2,9.1,,,,3438.0,51.85,1.3000000000000025,
2000,7583,21.3,12.1,8.2,,,,2809.0,56.81,1.0000000000000018,
2001,10561,47.3,30.1,14.5,,,,4479.0,63.64,2.6999999999999957,
2002,12444,51.1,32.1,16.2,,,,4106.0,62.82,2.8000000000000007,
2003,13805,44.5,28.5,14.1,,,,3223.0,64.04,1.9000000000000004,
2004,14790,52.8,33.1,17.5,,,,3570.0,62.69,2.1999999999999957,
2005,15720,54.1,33.1,18.2,,,,3441.0,61.18,2.8000000000000007,
2006,17904,54.2,32.5,20.5,,,,3027.0,59.96,1.2000000000000028,
2007,17951,56.1,31.7,21.5,,,,3125.0,56.51,2.900000000000002,
2008,24040,56.0,28.5,17.5,,,,2329.0,50.89,10.0,
2009,22491,48.5,27.5,15.0,9850.0,3400.0,2500.0,2156.0,56.7,6.0,11.12
2010,22826,45.1,26.5,17.1,9600.0,3500.0,2600.0,1976.0,58.76,1.5,11.39
2011,22128,46.5,34.5,24.2,9400.0,3600.0,2700.0,2101.0,74.19,-12.2,12.2
2012,26036,62.2,35.2,31.4,11500.0,4200.0,3100.0,2389.0,56.59,-4.399999999999999,11.91
2013,26323,69.5,30.1,22.0,12100.0,4100.0,3200.0,2640.0,43.31,17.4,12.16
2014,22108,55.3,20.5,13.5,9800.0,3900.0,2900.0,2501.0,37.07,21.299999999999997,13.12
2015,19927,36.4,30.2,16.5,8500.0,3400.0,2400.0,1827.0,82.97,-10.3,12.04
2016,21330,48.9,27.5,15.0,9200.0,3800.0,2800.0,2293.0,56.24,6.399999999999999,13.13
2017,21961,45.1,30.1,14.5,9100.0,3900.0,2900.0,2054.0,66.74,0.5,13.21
2018,22612,47.3,48.2,10.5,9400.0,4100.0,3100.0,2092.0,101.9,-11.400000000000006,13.71
2019,24416,61.0,48.2,10.5,10500.0,4500.0,3500.0,2498.0,79.02,2.299999999999997,14.33
2020,20224,20.1,14.5,4.5,8900.0,3800.0,2900.0,994.0,72.14,1.1000000000000014,14.34
2021,21095,44.8,34.4,1.9,9100.0,4200.0,3100.0,2124.0,76.79,8.499999999999998,14.7
2022,8716,11.6,7.5,0.4,3800.0,1800.0,1300.0,1331.0,64.66,3.6999999999999997,14.92
2023,15187,24.6,22.6,0.29,6800.0,2900.0,2400.0,1620.0,91.87,1.71,15.8
2024,14500,34.0,31.4,0.35,6400.0,3100.0,2500.0,2345.0,92.35,2.2500000000000013,17.24
2025,15069,33.2,30.7,0.25,6800.0,3200.0,2600.0,2203.0,92.47,2.2500000000000036,17.25
